Row Labels,Sum of UNIT_PRICE_GBP
E00401506819D024,23.62
E00401506819D025,73.61
E00401506819D151,77.68
E00401506819D152,9.56
E00401506819D155,156.61
E00401506819D156,10.09
E00401506819D15C,103.42
E00401506819D15D,38.5
E00401506819D312,22.74
E00401506819D315,97.44
E00401506819D36C,71.23
E00401506819D36D,82.03
E00401506819D36E,140.28
E0040150681A0921,199.08
E0040150681A0BBE,140.36
E0040150681A0BC1,50
E0040150681A0BC9,118.44
E0040150681A0CF0,191.56
E0040150681A0E14,67.96
E0040150681A0F38,33.89
E0040150681A107C,86.54
E0040150681A107E,113.19
E0040150681A1082,15.49
E0040150681A119B,173.88
E0040150681A11B2,216.4
E0040150681A13F9,48.41
E0040150681A1539,127.43
E0040150681A153B,154.19
E0040150681A1543,58.77
E0040150681A1666,100.16
E0040150681A166A,67.77
E0040150681A166D,57.93
E0040150681A19EB,42.84
E0040150681A19ED,170.28
E0040150681A19F6,74.96
E0040150681A1B2B,291.51
E0040150681A1B2C,102.83
E0040150681A1B30,233.22
E0040150681A1ED0,39.28
E0040150681A1ED5,68.58
E0040150681A1EDB,212.76
E0040150681A2002,120.95
E0040150681A2007,46.81
E0040150681A200A,188.67
E0040150681A200D,194.88
E0040150681A238F,226.27
E0040150681A2395,282.11
E0040150681A239A,149.36
E0040150681A239D,114.07
E0040150681A24C7,133.68
E0040150681A24CC,212.56
E0040150681A2856,27.43
E0040150681A285B,282.37
E0040150681A298E,21.58
E0040150681A2996,46.73
E0040150681A6280,5.31
E0040150681A6457,149.99
E0040150681A655C,373.21
E0040150681A6567,174.94
E0040150681A65E2,12.75
E0040150681A66E2,12.48
E0040150681A6762,156.62
E0040150681A6765,236.1
E0040150681A6853,267.24
E0040150681A685E,209.99
E0040150681A697F,158.76
E0040150681A6A20,22.12
E0040150681A6AA0,43.69
E0040150681A6B30,12.75
E0040150681A6BB9,28.77
E0040150681A6F11,186.01
E0040150681A6FA0,78.43
E0040150681A6FA3,150.84
E0040150681A7328,78.12
E0040150681A7333,68.91
E0040150681A7452,341.23
E0040150681A745D,232.21
E0040150681A77C3,7.43
E0040150681A77C4,64.57
E004015069D20E70,70.78
E004015069D20FA8,36.98
E004015069D21A8A,71.58
E004015069D21BC2,145.9
E004015069D21F78,144.16
E004015069D2217A,203.8
E004015069D22201,119.92
E004015069D222B1,124.88
E004015069D222BC,11.24
E004015069D22332,100.19
E004015069D223E3,40.53
E004015069D2245A,122.22
E004015069D22524,24.07
E004015069D22596,90.03
E004015069D225A1,146.37
E004015069D2271A,333.52
E004015069D25972,281.5
E004015069D25A55,121.53
E004015069D25B83,50.07
E004015069D25B8A,28.94
E004015069D25B8E,116.64
E004015069D25CBF,76.55
E004015069D25CC3,53.2
E004015069D25DE9,21.25
E004015069D25DED,43.19
E004015069D25DF4,30.27
E004015069D26062,76.18
E004015069D26187,17.97
E004015069D2618B,11.15
E004015069D2618C,116.68
E004015069D26192,68.04
E004015069D262BA,17
E004015069D262BE,169
E004015069D26648,44.86
E004015069D2664B,52.65
E004015069D2664F,168.22
E004015069D266B2,62.91
E004015069D2677E,26.55
E004015069D26B07,56.63
E004015069D26B08,36.21
E004015069D26B0C,60.25
E004015069D26B12,8.5
E004015069D26B73,11.86
E004015069D26C3B,125.65
E004015069D26C3F,188.17
E004015069D27050,20.52
E004015069D2712C,136.04
E004015069D2718F,39.65
E004015069D2719A,14.69
E004015069D27526,77.96
E004015069D27658,141.74
E004015069D279EA,105.01
E004015069D27B1B,130.73
E004015069D27C0C,31.51
E004015069D27C0E,139.45
E004015069D27C14,181.73
E004015069D27C16,52.54
E004015069D27C17,191.48
E004015069D27C19,314.55
E004015069D27D4A,52.91
E004015069D27D4B,61.14
E004015069D27D4D,40
E004015069D27D55,123.23
E004015069D27D58,297.66
E004015069D28017,41.85
E004015069D28103,134.48
E004015069D28106,113.81
E004015069D28108,49.82
E004015069D2810E,102.56
E004015069D28232,93.25
E004015069D28234,37.98
E004015069D28235,16.46
E004015069D28237,54.24
E004015069D28547,229.02
E004015069D285BB,234.38
E004015069D285C1,348.57
E004015069D285C3,167.84
E004015069D285C4,93.43
E004015069D285C6,38.32
